Designator,Mid X,Mid Y,Rotation,Layer
R416,110.8,-125.825,270.0,bottom
R417,114.3,-111.5,90.0,top
R418,128.8,-108.5,0.0,top
R501,205.1,-125.825,270.0,bottom
R502,203.6,-125.825,270.0,bottom
R503,202.1,-125.825,270.0,bottom
R504,200.6,-125.825,270.0,bottom
R505,199.1,-125.825,270.0,bottom
R506,197.6,-125.825,270.0,bottom
R507,196.1,-125.825,270.0,bottom
R508,194.6,-125.825,270.0,bottom
R509,193.1,-125.825,270.0,bottom
R510,191.6,-125.825,270.0,bottom
R511,190.1,-125.825,270.0,bottom
R512,188.6,-125.825,270.0,bottom
R513,187.1,-125.825,270.0,bottom
R514,185.6,-125.825,270.0,bottom
R515,184.1,-125.825,270.0,bottom
R516,182.6,-125.825,270.0,bottom
R517,186.1,-111.5,90.0,top
R518,200.6,-108.5,0.0,top
RN201,114.075,-94.0,180.0,top
RN202,114.075,-94.0,0.0,bottom
RN203,155.025,-94.0,180.0,top
RN204,155.025,-94.0,0.0,bottom
RN301,185.875,-94.0,180.0,top
RN302,185.875,-94.0,0.0,bottom
RN303,226.825,-94.0,180.0,top
RN304,226.825,-94.0,0.0,bottom
RN401,144.025,-117.0,0.0,top
RN402,144.025,-117.0,180.0,bottom
RN403,103.075,-117.0,0.0,top
RN404,103.075,-117.0,180.0,bottom
RN501,215.825,-117.0,0.0,top
RN502,215.825,-117.0,180.0,bottom
RN503,174.875,-117.0,0.0,top
RN504,174.875,-117.0,180.0,bottom
U101,83.7,-90.6,0.0,top
U102,94.91875,-92.4375,90.0,bottom
U103,104.1375,-105.0,270.0,top
U201,114.4,-88.0,0.0,top
U202,136.05,-97.5,270.0,top
U203,155.35,-88.0,0.0,top
U301,186.2,-88.0,0.0,top
U302,207.85,-97.5,270.0,top
U303,227.15,-88.0,0.0,top
U401,143.7,-123.0,180.0,top
U402,122.05,-113.5,90.0,top
U403,102.75,-123.0,180.0,top
U501,215.5,-123.0,180.0,top
U502,193.85,-113.5,90.0,top
U503,174.55,-123.0,180.0,top
